TimeSteps,ResultPoints,Delay(ns),FieldStrength(uV/m),DopplerShift(Hz),AoD_Azimuth(0-360),AoA_Azimuth(0-360),AoD_Elevation(0-180),AoA_Elevation(0-180)
0,51,48.9535,216346,0,247.694,270.686,90.9761,89.0239,
0,52,11.5899,4.98427e+06,0,136.169,316.169,94.1261,85.8739,
0,52,47.9468,269724,0,254.249,275.882,90.9966,89.0034,
0,52,48.62,217830,0,247.694,270.694,90.9828,89.0172,
0,53,11.362,5.08422e+06,0,137.386,317.386,94.209,85.791,
0,53,47.6151,271603,0,254.249,275.954,91.0035,88.9965,
0,53,48.2866,219334,0,247.694,270.703,90.9895,89.0105,
0,54,11.1395,5.18578e+06,0,138.652,318.652,94.2932,85.7068,
0,54,47.2834,273509,0,254.249,276.028,91.0105,88.9895,
0,54,47.9531,220860,0,247.694,270.712,90.9964,89.0036,
0,55,10.9226,5.28874e+06,0,139.97,319.97,94.3786,85.6214,
0,55,46.9517,275441,0,254.249,276.103,91.0177,88.9823,
0,55,47.6196,222407,0,247.694,270.721,91.0034,88.9966,
0,56,10.7118,5.39285e+06,0,141.34,321.34,94.465,85.535,
0,56,46.6201,277400,0,254.249,276.18,91.0249,88.9751,
0,56,47.2861,223975,0,247.694,270.73,91.0105,88.9895,
0,57,10.5073,5.49781e+06,0,142.765,322.765,94.5521,85.4479,
0,57,46.2886,279387,0,254.249,276.259,91.0323,88.9677,
0,57,46.9526,225566,0,247.694,270.739,91.0177,88.9823,
0,58,10.3095,5.60327e+06,0,144.246,324.246,94.6396,85.3604,
0,58,45.9571,281402,0,254.249,276.34,91.0397,88.9603,
0,58,46.6191,227179,0,247.694,270.749,91.0249,88.9751,
0,59,10.1189,5.70884e+06,0,145.784,325.784,94.7272,85.2728,
0,59,45.6256,283446,0,254.249,276.423,91.0473,88.9527,
0,59,46.2856,228816,0,247.694,270.759,91.0323,88.9677,
0,60,9.93579,5.81403e+06,0,147.381,327.381,94.8145,85.1855,
0,60,45.2943,285520,0,254.249,276.509,91.0549,88.9451,
0,60,45.9522,230477,0,247.694,270.769,91.0398,88.9602,
0,61,9.76067,5.91834e+06,0,149.036,329.036,94.9011,85.0989,
0,61,44.9629,287624,0,254.249,276.597,91.0627,88.9373,
0,61,45.6187,232162,0,247.694,270.779,91.0474,88.9526,
0,62,9.59396,6.02119e+06,0,150.751,330.751,94.9865,85.0135,
0,62,44.6317,289759,0,254.249,276.687,91.0706,88.9294,
0,62,45.2852,233871,0,247.694,270.79,91.0551,88.9449,
0,63,9.43609,6.12192e+06,0,152.526,332.526,95.0701,84.9299,
0,63,44.3004,291925,0,254.249,276.78,91.0786,88.9214,
0,63,44.9517,235606,0,247.694,270.801,91.063,88.937,
0,64,9.28753,6.21984e+06,0,154.359,334.359,95.1514,84.8486,
0,64,43.9693,294124,0,254.249,276.875,91.0867,88.9133,
0,64,44.6183,237367,0,247.694,270.813,91.0709,88.9291,
0,65,9.14872,6.31421e+06,0,156.251,336.251,95.2298,84.7702,
0,65,43.6382,296355,0,254.249,276.973,91.095,88.905,
0,65,44.2848,239154,0,247.694,270.824,91.079,88.921,
0,66,9.02012,6.40424e+06,0,158.199,338.199,95.3046,84.6954,
0,66,43.3072,298620,0,254.249,277.074,91.1033,88.8967,
0,66,43.9513,240969,0,247.694,270.836,91.0872,88.9128,
0,67,8.90216,6.4891e+06,0,160.201,340.201,95.3751,84.6249,
0,67,42.9763,300920,0,254.249,277.177,91.1118,88.8882,
0,67,43.6178,242811,0,247.694,270.849,91.0955,88.9045,
0,68,8.79528,6.56794e+06,0,162.255,342.255,95.4406,84.5594,
0,68,42.6455,303254,0,254.249,277.284,91.1205,88.8795,
0,68,43.2844,244682,0,247.694,270.862,91.1039,88.8961,
0,69,8.69989,6.63996e+06,0,164.358,344.358,95.5004,84.4996,
0,69,42.3147,305625,0,254.249,277.394,91.1292,88.8708,
0,69,42.9509,246582,0,247.694,270.875,91.1125,88.8875,
0,70,8.61636,6.70434e+06,0,166.504,346.504,95.5539,84.4461,
0,70,41.984,308032,0,254.249,277.507,91.1381,88.8619,
0,70,42.6175,248511,0,247.694,270.888,91.1212,88.8788,
0,71,8.54504,6.76029e+06,0,168.69,348.69,95.6004,84.3996,
0,71,41.6534,310477,0,254.249,277.624,91.1472,88.8529,
0,71,42.284,250471,0,247.694,270.902,91.13,88.87,
0,72,8.48624,6.80713e+06,0,170.91,350.91,95.6393,84.3607,
0,72,41.3229,312960,0,254.249,277.745,91.1563,88.8437,
0,72,41.9505,252462,0,247.694,270.917,91.139,88.861,
0,73,8.44023,6.84425e+06,0,173.157,353.157,95.6702,84.3298,
0,73,40.9925,315482,0,254.249,277.869,91.1656,88.8344,
0,73,41.6171,254485,0,247.694,270.932,91.1481,88.8518,
0,74,8.4072,6.87112e+06,0,175.426,355.426,95.6925,84.3075,
0,74,40.6622,318045,0,254.249,277.997,91.1751,88.8249,
0,74,41.2836,256540,0,247.694,270.947,91.1574,88.8426,
0,75,8.38733,6.8874e+06,0,177.709,357.709,95.7061,84.2939,
0,75,40.332,320649,0,254.249,278.13,91.1847,88.8153,
0,75,40.9502,258629,0,247.694,270.963,91.1669,88.8331,
0,76,8.38069,6.89286e+06,0,180,360,95.7106,84.2894,
0,76,40.0019,323295,0,254.249,278.267,91.1945,88.8055,
0,76,40.6167,260752,0,247.694,270.979,91.1764,88.8236,
0,77,8.38733,6.8874e+06,0,182.291,2.29061,95.7061,84.2939,
0,77,39.672,325984,0,254.249,278.409,91.2045,88.7955,
0,77,40.2833,262911,0,247.694,270.996,91.1862,88.8138,
0,78,8.4072,6.87112e+06,0,184.574,4.57392,95.6925,84.3075,
0,78,39.3421,328717,0,254.249,278.556,91.2146,88.7854,
0,78,39.9499,265105,0,247.694,271.014,91.1961,88.8039,
0,79,8.44023,6.84425e+06,0,186.843,6.84277,95.6702,84.3298,
0,79,39.0124,331495,0,254.249,278.707,91.2248,88.7752,
0,79,39.6164,267336,0,247.694,271.032,91.2061,88.7939,
0,80,8.48624,6.80713e+06,0,189.09,9.09028,95.6393,84.3607,
0,80,38.6828,334319,0,254.249,278.865,91.2353,88.7647,
0,80,39.283,269605,0,247.694,271.051,91.2164,88.7836,
0,81,8.54504,6.76029e+06,0,191.31,11.3099,95.6004,84.3996,
0,81,38.3534,337191,0,254.249,279.028,91.2459,88.7541,
0,81,38.9496,271913,0,247.694,271.071,91.2268,88.7732,
0,82,8.61636,6.70434e+06,0,193.496,13.4957,95.5539,84.4461,
0,82,38.0241,340111,0,254.249,279.197,91.2567,88.7433,
0,82,38.6161,274261,0,247.694,271.091,91.2374,88.7626,
0,83,8.69989,6.63996e+06,0,195.642,15.6422,95.5004,84.4996,
0,83,37.695,343080,0,254.249,279.372,91.2676,88.7324,
0,83,38.2827,276650,0,247.694,271.112,91.2482,88.7518,
0,84,8.79528,6.56794e+06,0,197.745,17.7447,95.4406,84.5594,
0,84,37.3661,346100,0,254.249,279.554,91.2788,88.7212,
0,84,37.9493,279080,0,247.694,271.134,91.2591,88.7409,
0,85,8.90216,6.4891e+06,0,199.799,19.7989,95.3751,84.6249,
0,85,37.0373,349173,0,254.249,279.744,91.2902,88.7099,
0,85,37.6159,281554,0,247.694,271.157,91.2703,88.7297,
0,86,9.02012,6.40424e+06,0,201.801,21.8014,95.3046,84.6954,
0,86,36.7087,352298,0,254.249,279.941,91.3017,88.6983,
0,86,37.2825,284072,0,247.694,271.181,91.2817,88.7183,
0,87,9.14872,6.31421e+06,0,203.749,23.7495,95.2298,84.7702,
0,87,36.3804,355478,0,254.249,280.146,91.3134,88.6866,
0,87,36.949,286635,0,247.694,271.206,91.2932,88.7068,
0,88,9.28753,6.21984e+06,0,205.641,25.641,95.1514,84.8486,
0,88,36.0522,358714,0,254.249,280.359,91.3254,88.6746,
0,88,36.6156,289245,0,247.694,271.232,91.305,88.695,
0,89,9.43609,6.12192e+06,0,207.474,27.4744,95.0701,84.9299,
0,89,35.7243,362006,0,254.249,280.582,91.3376,88.6624,
0,89,36.2822,291903,0,247.694,271.259,91.317,88.683,
0,90,9.59396,6.02119e+06,0,209.249,29.2488,94.9865,85.0135,
0,90,35.3966,365357,0,254.249,280.814,91.35,88.65,
0,90,35.9489,294610,0,247.694,271.287,91.3292,88.6708,
0,91,9.76067,5.91834e+06,0,210.964,30.9638,94.9011,85.0989,
0,91,35.0692,368768,0,254.249,281.056,91.3626,88.6374,
0,91,35.6155,297368,0,247.694,271.317,91.3417,88.6583,
0,92,9.93579,5.81403e+06,0,212.619,32.6192,94.8145,85.1855,
0,92,34.7421,372241,0,254.249,281.31,91.3754,88.6246,
0,92,35.2821,300178,0,247.694,271.348,91.3543,88.6457,
0,93,10.1189,5.70884e+06,0,214.216,34.2157,94.7272,85.2728,
0,93,34.4152,375776,0,254.249,281.575,91.3885,88.6115,
0,93,34.9487,303042,0,247.694,271.38,91.3673,88.6327,
0,94,10.3095,5.60327e+06,0,215.754,35.7539,94.6396,85.3604,
0,94,34.0887,379375,0,254.249,281.853,91.4018,88.5982,
0,94,34.6153,305960,0,247.694,271.414,91.3804,88.6196,
0,95,10.5073,5.49781e+06,0,217.235,37.2348,94.5521,85.4479,
0,95,33.7625,383040,0,254.249,282.144,91.4153,88.5847,
0,95,34.282,308935,0,247.694,271.45,91.3939,88.6061,
0,96,10.7118,5.39285e+06,0,218.66,38.6598,94.465,85.535,
0,96,33.4367,386773,0,254.249,282.45,91.4291,88.5709,
0,96,33.9486,311969,0,247.694,271.488,91.4075,88.5925,
0,97,10.9226,5.28874e+06,0,220.03,40.0303,94.3786,85.6214,
0,97,33.1113,390574,0,254.249,282.771,91.4432,88.5569,
0,97,33.6153,315062,0,247.694,271.528,91.4215,88.5785,
0,98,11.1395,5.18578e+06,0,221.348,41.3478,94.2932,85.7068,
0,98,32.7863,394445,0,254.249,283.109,91.4575,88.5425,
0,98,33.2819,318218,0,247.694,271.569,91.4358,88.5642,
0,99,11.362,5.08422e+06,0,222.614,42.6141,94.209,85.791,
0,99,32.4618,398389,0,254.249,283.465,91.472,88.528,
0,99,32.9486,321437,0,247.694,271.614,91.4503,88.5497,
0,100,11.5899,4.98427e+06,0,223.831,43.8309,94.1261,85.8739,
0,100,32.1377,402406,0,254.249,283.841,91.4869,88.5131,
0,100,32.6153,324722,0,247.694,271.66,91.4651,88.5349,
0,101,11.8227,4.8861e+06,0,225,45,94.0447,85.9553,
0,101,31.8142,406498,0,254.249,284.237,91.502,88.498,
0,101,32.282,328075,0,247.694,271.71,91.4802,88.5198,
0,102,11.5899,4.98427e+06,0,226.169,46.1691,94.1261,85.8739,
0,102,31.7368,407489,0,254.249,282.619,91.5057,88.4943,
0,102,32.277,328126,0,247.694,270,91.4805,88.5195,
0,103,11.362,5.08422e+06,0,227.386,47.3859,94.209,85.791,
0,103,31.6686,408367,0,254.249,280.981,91.5089,88.4911,
0,103,32.282,328075,0,247.694,268.29,91.4802,88.5198,
0,104,11.1395,5.18578e+06,0,228.652,48.6522,94.2932,85.7068,
0,104,31.6098,409126,0,254.249,279.324,91.5117,88.4883,
0,104,32.2969,327923,0,247.694,266.583,91.4796,88.5205,
0,105,10.9226,5.28874e+06,0,229.97,49.9697,94.3786,85.6214,
0,105,31.5606,409764,0,254.249,277.651,91.5141,88.4859,
0,105,32.3217,327672,0,247.694,264.883,91.4784,88.5216,
0,106,10.7118,5.39285e+06,0,231.34,51.3402,94.465,85.535,
0,106,31.5211,410278,0,254.249,275.964,91.516,88.484,
0,106,32.3563,327321,0,247.694,263.191,91.4768,88.5232,
0,107,10.5073,5.49781e+06,0,232.765,52.7652,94.5521,85.4479,
0,107,31.4913,410666,0,254.249,274.268,91.5174,88.4826,
0,107,32.4007,326872,0,247.694,261.511,91.4748,88.5252,
