TimeSteps,ResultPoints,Delay(ns),FieldStrength(uV/m),DopplerShift(Hz),AoD_Azimuth(0-360),AoA_Azimuth(0-360),AoD_Elevation(0-180),AoA_Elevation(0-180)
0,71,41.6534,310477,4.93425,254.249,277.624,91.1472,88.8529,
0,71,42.284,250471,5.39757,247.694,270.902,91.13,88.87,
0,72,8.48624,6.80713e+06,0,170.91,350.91,95.6393,84.3607,
0,72,41.3229,312960,4.92865,254.249,277.745,91.1563,88.8437,
0,72,41.9505,252462,5.39695,247.694,270.917,91.139,88.861,
0,73,8.44023,6.84425e+06,0,173.157,353.157,95.6702,84.3298,
0,73,40.9925,315482,4.92287,254.249,277.869,91.1656,88.8344,
0,73,41.6171,254485,5.39631,247.694,270.932,91.1481,88.8518,
0,74,8.4072,6.87112e+06,0,175.426,355.426,95.6925,84.3075,
0,74,40.6622,318045,4.91689,254.249,277.997,91.1751,88.8249,
0,74,41.2836,256540,5.39565,247.694,270.947,91.1574,88.8426,
0,75,8.38733,6.8874e+06,0,177.709,357.709,95.7061,84.2939,
0,75,40.332,320649,4.9107,254.249,278.13,91.1847,88.8153,
0,75,40.9502,258629,5.39496,247.694,270.963,91.1669,88.8331,
0,76,8.38069,6.89286e+06,0,180,360,95.7106,84.2894,
0,76,40.0019,323295,4.9043,254.249,278.267,91.1945,88.8055,
0,76,40.6167,260752,5.39425,247.694,270.979,91.1764,88.8236,
0,77,8.38733,6.8874e+06,0,182.291,2.29061,95.7061,84.2939,
0,77,39.672,325984,4.89766,254.249,278.409,91.2045,88.7955,
0,77,40.2833,262911,5.39352,247.694,270.996,91.1862,88.8138,
0,78,8.4072,6.87112e+06,0,184.574,4.57392,95.6925,84.3075,
0,78,39.3421,328717,4.89078,254.249,278.556,91.2146,88.7854,
0,78,39.9499,265105,5.39277,247.694,271.014,91.1961,88.8039,
0,79,8.44023,6.84425e+06,0,186.843,6.84277,95.6702,84.3298,
0,79,39.0124,331495,4.88365,254.249,278.707,91.2248,88.7752,
0,79,39.6164,267336,5.39198,247.694,271.032,91.2061,88.7939,
0,80,8.48624,6.80713e+06,0,189.09,9.09028,95.6393,84.3607,
0,80,38.6828,334319,4.87624,254.249,278.865,91.2353,88.7647,
0,80,39.283,269605,5.39117,247.694,271.051,91.2164,88.7836,
0,81,8.54504,6.76029e+06,0,191.31,11.3099,95.6004,84.3996,
0,81,38.3534,337191,4.86856,254.249,279.028,91.2459,88.7541,
0,81,38.9496,271913,5.39032,247.694,271.071,91.2268,88.7732,
0,82,8.61636,6.70434e+06,0,193.496,13.4957,95.5539,84.4461,
0,82,38.0241,340111,4.86056,254.249,279.197,91.2567,88.7433,
