TimeSteps,Delay,FieldStrength,DopplerShift,AoD_Azimuth,AoA_Azimuth,AoD_Elevation,AoA_Elevation
0,30.2884,349668,6.28711,247.694,209.358,91.5777,88.4223,
0,31.6122,207210,6.17002,255.964,231.843,91.5116,88.4884,
0,14.7005,3.92959e+06,0,270,90,93.2519,86.7481,
0,27.6145,468321,6.23624,254.249,221.309,91.7305,88.2695,
0,30.4564,347740,6.31353,247.694,211.139,91.569,88.431,
0,31.8767,205490,6.1603,255.964,233.13,91.4991,88.5009,
0,14.3675,4.02068e+06,0,270,90,93.3274,86.6726,
0,27.8387,464548,6.24158,254.249,223.21,91.7166,88.2834,
0,30.6331,345734,6.33604,247.694,212.856,91.5599,88.4401,
0,32.1456,203772,6.14959,255.964,234.345,91.4865,88.5135,
0,14.0345,4.11607e+06,0,270,90,93.4064,86.5936,
0,28.0708,460707,6.24325,254.249,225,91.7024,88.2976,
0,30.8181,343659,6.35494,247.694,214.509,91.5506,88.4494,
0,32.4185,202056,6.13813,255.964,235.491,91.474,88.526,
0,13.7015,4.2161e+06,0,270,90,93.4893,86.5107,
0,28.31,456814,6.24186,254.249,226.685,91.688,88.312,
0,31.0108,341523,6.37055,247.694,216.098,91.5409,88.4591,
0,32.695,200347,6.1261,255.964,236.575,91.4615,88.5385,
0,13.3686,4.32109e+06,0,270,90,93.5763,86.4237,
0,28.5558,452883,6.23791,254.249,228.27,91.6734,88.3266,
0,31.2108,339334,6.38317,247.694,217.626,91.531,88.469,
0,32.975,198646,6.11364,255.964,237.6,91.4491,88.5509,
0,13.0357,4.43145e+06,0,270,90,93.6678,86.3322,
0,28.8075,448925,6.23187,254.249,229.764,91.6588,88.3412,
0,31.4178,337099,6.39308,247.694,219.094,91.521,88.479,
0,33.258,196956,6.10089,255.964,238.57,91.4368,88.5632,
0,12.7028,4.54756e+06,0,270,90,93.764,86.236,
0,29.0647,444953,6.22412,254.249,231.17,91.6441,88.3559,
0,31.6313,334824,6.40054,247.694,220.503,91.5107,88.4893,
0,33.544,195277,6.08795,255.964,239.49,91.4245,88.5755,
0,12.37,4.66992e+06,0,270,90,93.8655,86.1345,
0,29.3268,440976,6.21499,254.249,232.496,91.6294,88.3706,
0,31.8508,332516,6.40582,247.694,221.855,91.5003,88.4997,
0,33.8326,193611,6.07491,255.964,240.362,91.4124,88.5876,
0,12.0372,4.79903e+06,0,270,90,93.9725,86.0275,
0,29.5936,437001,6.20475,254.249,233.746,91.6147,88.3853,
0,32.0761,330180,6.40913,247.694,223.152,91.4897,88.5103,
0,34.1236,191960,6.06185,255.964,241.189,91.4003,88.5997,
0,11.7045,4.93546e+06,0,270,90,94.0856,85.9144,
0,29.8645,433037,6.19366,254.249,234.926,91.6001,88.3999,
0,32.3068,327822,6.41071,247.694,224.397,91.4791,88.5209,
0,34.4169,190324,6.04882,255.964,241.975,91.3884,88.6116,
0,11.3718,5.07984e+06,0,270,90,94.2054,85.7946,
0,30.1392,429089,6.1819,254.249,236.041,91.5855,88.4145,
0,32.5426,325448,6.41075,247.694,225.591,91.4684,88.5316,
0,34.7123,188704,6.03587,255.964,242.723,91.3766,88.6234,
0,11.0392,5.23292e+06,0,270,90,94.3323,85.6677,
0,30.4175,425164,6.16964,254.249,237.095,91.571,88.429,
0,32.7831,323060,6.40943,247.694,226.736,91.4576,88.5424,
0,35.0096,187102,6.02305,255.964,243.435,91.3649,88.6351,
0,10.7066,5.39547e+06,0,270,90,94.4672,85.5328,
0,30.699,421265,6.15703,254.249,238.092,91.5566,88.4434,
0,33.0282,320663,6.40691,247.694,227.834,91.4468,88.5532,
0,35.3087,185517,6.01038,255.964,244.113,91.3533,88.6467,
0,10.3741,5.5684e+06,0,270,90,94.6106,85.3894,
0,30.9835,417396,6.14419,254.249,239.036,91.5423,88.4577,
0,33.2774,318261,6.40335,247.694,228.888,91.4359,88.564,
0,35.6096,183949,5.99788,255.964,244.759,91.3419,88.6581,
0,10.0416,5.75276e+06,0,270,90,94.7636,85.2364,
0,31.2708,413562,6.1312,254.249,239.931,91.5281,88.4719,
0,33.5305,315859,6.39887,247.694,229.899,91.4251,88.5749,
0,35.912,182400,5.98559,255.964,245.376,91.3306,88.6694,
0,9.70924,5.94969e+06,0,270,90,94.9271,85.0729,
0,31.5606,409764,6.11815,254.249,240.781,91.5141,88.4859,
0,33.7874,313457,6.3936,247.694,230.87,91.4143,88.5857,
0,36.2158,180870,5.97351,255.964,245.966,91.3194,88.6806,
0,9.37695,6.16053e+06,0,270,90,95.1022,84.8978,
0,31.8528,406006,6.1051,254.249,241.587,91.5002,88.4998,
0,34.0478,311060,6.38765,247.694,231.801,91.4035,88.5966,
0,36.5211,179358,5.96165,255.964,246.529,91.3084,88.6916,
0,9.04476,6.38679e+06,0,270,90,95.2901,84.7099,
0,32.1471,402288,6.09212,254.249,242.354,91.4864,88.5136,
0,34.3115,308669,6.3811,247.694,232.696,91.3927,88.6073,
0,36.8276,177865,5.95003,255.964,247.068,91.2975,88.7025,
0,8.71267,6.63023e+06,0,270,90,95.4923,84.5077,
0,32.4435,398614,6.07924,254.249,243.083,91.4729,88.5271,
0,34.5782,306288,6.37406,247.694,233.556,91.3819,88.6181,
0,37.1353,176392,5.93865,255.964,247.584,91.2867,88.7133,
0,8.38069,6.89286e+06,0,270,90,95.7106,84.2894,
0,32.7417,394982,6.06649,254.249,243.778,91.4594,88.5406,
0,34.8479,303918,6.3666,247.694,234.382,91.3712,88.6288,
0,37.4441,174937,5.92751,255.964,248.078,91.2761,88.7239,
0,8.04885,7.17704e+06,0,270,90,95.9469,84.0531,
0,33.0417,391396,6.05392,254.249,244.44,91.4462,88.5538,
0,35.1204,301560,6.35878,247.694,235.176,91.3606,88.6394,
0,37.754,173501,5.91661,255.964,248.552,91.2656,88.7343,
0,7.71716,7.48552e+06,0,270,90,96.2034,83.7966,
0,33.3433,387856,6.04153,254.249,245.072,91.4331,88.5669,
0,35.3954,299217,6.35066,247.694,235.939,91.35,88.65,
0,38.0649,172084,5.90596,255.964,249.007,91.2553,88.7447,
0,7.38564,7.82153e+06,0,270,90,96.4831,83.5169,
0,33.6465,384362,6.02935,254.249,245.674,91.4202,88.5798,
0,35.6728,296890,6.34231,247.694,236.674,91.3395,88.6605,
0,38.3767,170686,5.89555,255.964,249.444,91.2451,88.7549,
0,7.05431,8.18889e+06,0,270,90,96.789,83.211,
0,33.951,380914,6.01738,254.249,246.251,91.4075,88.5926,
0,35.9526,294580,6.33376,247.694,237.381,91.3291,88.6709,
0,38.6894,169306,5.88538,255.964,249.864,91.2351,88.765,
0,6.7232,8.59218e+06,0,270,90,97.125,82.875,
0,34.2569,377513,6.00565,254.249,246.801,91.3949,88.6051,
0,36.2345,292288,6.32506,247.694,238.062,91.3187,88.6813,
0,39.0029,167945,5.87545,255.964,250.267,91.2251,88.7749,
0,6.39234,9.0369e+06,0,270,90,97.4959,82.5041,
0,34.564,374159,5.99416,254.249,247.329,91.3825,88.6175,
0,36.5185,290014,6.31625,247.694,238.717,91.3085,88.6915,
0,39.3172,166603,5.86576,255.964,250.656,91.2153,88.7847,
0,6.06179,9.52969e+06,0,270,90,97.9072,82.0928,
0,34.8723,370851,5.9829,254.249,247.834,91.3703,88.6297,
0,36.8045,287761,6.30735,247.694,239.349,91.2983,88.7017,
0,39.6322,165279,5.85629,255.964,251.03,91.2057,88.7943,
0,5.73158,1.00787e+07,0,270,90,98.3659,81.6341,
